net,length_um
_1071_,580.01
_1278_,469.9
clknet_0_clk,465.79
_1111_,447.28
_1205_,437.53
_1090_,414.1
_1108_,413.59
_1069_,398.875
_1335_,397.82
_1251_,394.73
_1241_,385.92
_1276_,371.51
_1177_,365.97
_1060_,354.04
_1146_,333.99
_1100_,332.93
_1025_,331.26
_1371_,330.06
_1186_,326.94
_1050_,314.04
_1043_,312.65
_1037_,311.315
_1320_,309.52
_1218_,305.89
_1073_,302.36
_1339_,301.01
_1316_,295.43
_1200_,292
_1031_,291.84
_1290_,289.66
_1375_,285.31
_1190_,283.47
_1088_,279.95
_1042_,278.17
_1268_,277.06
_1344_,276.91
_1078_,276.72
_1096_,276.58
_1405_,272.89
_1169_,272.22
_1372_,271.81
_1119_,268.88
_1067_,266.145
_1401_,265.93
_1311_,264.16
_1577_,263.53
_1099_,261.36
_1396_,260.66
_1394_,259.48
_1153_,257.56
clk,254.55
_0721_,253.335
_1440_,252.06
_1272_,251.35
_1362_,250.24
_1189_,249.81
_1087_,248.04
_1076_,246.78
clknet_3_4__leaf_clk,246.5
_1027_,244.33
_1350_,242.4
_1055_,241.68
_1446_,238.23
_1127_,237.81
_1030_,232.77
_1182_,229.82
_1490_,229.34
_1144_,226.36
_1094_,225.05
clknet_3_1__leaf_clk,222.59
clknet_3_6__leaf_clk,222.18
_1231_,221.78
_0812_,220.87
_0980_,219.855
clknet_3_0__leaf_clk,218.38
_1448_,218.31
_1024_,215.19
_1301_,214.72
_1270_,214.565
_1408_,212.8
_0908_,211.84
_1759_,211.79
_1925_,209.16
_1080_,209.155
_0891_,209
_1297_,207.15
clknet_3_5__leaf_clk,205.72
_1533_,205.45
_1211_,204.56
_1202_,204.37
_1165_,202.52
_1881_,199.92
_1173_,199.62
_1293_,198.58
_1464_,197.74
_1039_,195.97
_1437_,194.68
_1288_,193.95
_1968_,193.3
_1203_,192.69
_1093_,192.02
_1672_,191.59
_1664_,191.16
clknet_3_3__leaf_clk,191.02
_1751_,190.76
_1113_,190.6
_1346_,190.485
_1707_,189.54
_1736_,188.34
_1838_,185.9
_1215_,184.94
_1620_,184.44
_1541_,184.39
_1171_,184.07
_1002_,183.86
_1628_,183.7
_1347_,182.76
_1794_,181.65
